,Sample,Area,Feret,Perim.,Major,Minor,Width,Height,Min,Max,AR,Circ.,Round,Solidity,Morph,Upper_CMBS,Lower_CMBS
60,AC8_RE_02,6873.583,181.035,473.199,176.9,49.473,136.905,160.714,4,51,3.576,0.386,0.28,0.616,Indeterminate,160,150
61,AC8_RE_03,72668.655,367.701,1203.62,363.087,254.828,309.524,363.095,2,82,1.425,0.63,0.702,0.911,Indeterminate,150,140
62,AC8_RE_03,52898.246,436.842,1212.038,382.924,175.889,232.143,422.619,3,70,2.177,0.453,0.459,0.8,Irregular,150,140
63,AC8_RE_03,168296.496,745.95,2261.144,761.011,281.575,660.714,607.143,0,104,2.703,0.414,0.37,0.821,Irregular,150,140
64,AC8_RE_03,33021.544,258.432,764.092,236.406,177.848,208.333,220.238,3,40,1.329,0.711,0.752,0.926,Indeterminate,150,140
65,AC8_RE_03,393565.784,1002.212,4222.336,970.517,516.326,660.714,958.333,1,48,1.88,0.277,0.532,0.885,Irregular,150,140
66,AC8_RE_03,43721.658,505.952,1349.366,428.62,129.878,226.19,458.333,2,101,3.3,0.302,0.303,0.71,Indeterminate,150,140
67,AC8_RE_03,25793.652,212.459,694.706,192.041,171.013,196.429,208.333,14,55,1.123,0.672,0.891,0.877,Irregular,150,140
68,AC8_RE_03,17928.006,189.17,599.468,175.382,130.154,172.619,154.762,11,48,1.347,0.627,0.742,0.872,Irregular,150,140
69,AC8_RE_03,25262.19,224.145,614.86,212.758,151.18,220.238,172.619,4,60,1.407,0.84,0.711,0.941,Geometric,150,140
70,AC8_RE_03,54138.325,463.866,1330.487,379.484,181.644,226.19,458.333,2,72,2.089,0.384,0.479,0.761,Irregular,150,140
71,AC8_RE_03,12436.225,158.829,473.199,130.215,121.601,136.905,154.762,4,63,1.071,0.698,0.934,0.853,Irregular,150,140
72,AC8_RE_03,31746.034,262.985,834.325,224.583,179.979,196.429,261.905,8,74,1.248,0.573,0.801,0.847,Irregular,150,140
73,AC8_RE_03,61295.355,307.284,1000.991,288.365,270.642,303.571,285.714,10,63,1.065,0.769,0.939,0.926,Indeterminate,150,140
74,AC8_RE_03,9105.726,173.029,540.543,150.58,76.994,142.857,136.905,18,55,1.956,0.392,0.511,0.645,Irregular,150,140
75,AC8_RE_03,37521.261,295.708,847.426,262.936,181.693,250,226.19,7,48,1.447,0.657,0.691,0.857,Irregular,150,140
76,AC8_RE_03,37096.091,269.703,815.198,247.595,190.764,250,226.19,5,65,1.298,0.701,0.77,0.867,Irregular,150,140
77,AC8_RE_03,12967.688,178.671,595.982,146.919,112.382,154.762,136.905,4,35,1.307,0.459,0.765,0.818,Irregular,150,140
78,AC8_RE_03,4251.701,137.034,339.358,101.05,53.572,113.095,89.286,4,43,1.886,0.464,0.53,0.764,Irregular,150,140
79,AC8_RE_03,10841.837,151.757,425.58,130.167,106.05,148.81,125,11,99,1.227,0.752,0.815,0.864,Indeterminate,150,140
80,AC8_RE_03,22817.462,262.175,902.865,258.846,112.237,250,196.429,3,67,2.306,0.352,0.434,0.759,Irregular,150,140
81,AC8_RE_03,12861.395,220.881,595.135,182.458,89.75,214.286,130.952,4,63,2.033,0.456,0.492,0.69,Irregular,150,140
82,AC8_RE_03,15093.538,158.829,478.729,148.069,129.788,136.905,154.762,4,47,1.141,0.828,0.877,0.922,Indeterminate,150,140
83,AC8_RE_03,14384.922,163.447,484.258,138.649,132.1,148.81,136.905,1,45,1.05,0.771,0.953,0.898,Indeterminate,150,140
